,name,company,year,Price,kms_driven,fuel_type
426,Mahindra Logan Diesel,Mahindra,2009,130000,66000,Petrol
427,Tata Nano GenX,Tata,2010,32000,44005,Petrol
428,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
429,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
430,Hyundai Elite i20,Hyundai,2015,405000,28000,Petrol
431,Hyundai Elite i20,Hyundai,2015,400000,30000,Petrol
432,Honda City SV,Honda,2017,760000,4000,Petrol
433,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol
434,Ford Figo Petrol,Ford,2011,175000,75000,Petrol
435,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
436,Honda City,Honda,2017,750000,3000,Petrol
437,Hyundai Elite i20,Hyundai,2015,419000,20000,Petrol
438,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
439,Hyundai Eon Era,Hyundai,2018,140000,2110,Petrol
440,Mitsubishi Pajero Sport,Mitsubishi,2015,1540000,43222,Petrol
441,Hyundai i10 Magna,Hyundai,2008,275000,100200,Petrol
442,Toyota Corolla H2,Toyota,2003,150000,100000,Petrol
443,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol
444,Tata Indigo CS,Tata,2015,123000,100000,Diesel
445,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
446,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
447,Hyundai Xcent Base,Hyundai,2016,300000,140000,Diesel
448,Honda City,Honda,2015,499999,55000,Petrol
449,Hyundai Accent Executive,Hyundai,2009,165000,48000,Petrol
450,Maruti Suzuki Baleno,Maruti,2016,498000,22000,Petrol
451,Tata Zest XE,Tata,2018,480000,103553,Diesel
452,Maruti Suzuki Dzire,Maruti,2017,488000,80000,Diesel
453,Tata Sumo Gold,Tata,2014,250000,99000,Diesel
454,Toyota Corolla Altis,Toyota,2010,220000,58000,Petrol
455,Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG
456,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
457,Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel
458,Tata Tigor Revotron,Tata,2019,650000,100,Diesel
459,Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol
460,Maruti Suzuki Ertiga,Maruti,2015,550000,75000,Petrol
461,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
462,Honda Mobilio S,Honda,2014,399000,44000,Diesel
463,Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
464,Maruti Suzuki Vitara,Maruti,2017,725000,36000,Diesel
465,Hyundai Verna 1.6,Hyundai,2016,195000,56000,Diesel
466,Maruti Suzuki Swift,Maruti,2007,130000,62000,Petrol
467,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
468,Maruti Suzuki Omni,Maruti,2014,190000,6020,Petrol
469,Honda Amaze,Honda,2013,250000,55700,Diesel
470,Tata Indica,Tata,2005,80000,42000,Petrol
471,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol
472,Maruti Suzuki Zen,Maruti,2010,149000,35000,Petrol
473,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol
474,Maruti Suzuki Wagon,Maruti,2007,120000,7000,Petrol
475,Honda Brio VX,Honda,2017,450000,11000,Petrol
476,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol
477,Maruti Suzuki Zen,Maruti,2008,135000,23000,Petrol
478,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel
479,Maruti Suzuki Alto,Maruti,2010,99000,22134,Petrol
480,Renault Kwid RXT,Renault,2019,370000,1000,Petrol
481,Tata Nano Lx,Tata,2010,52000,9000,Petrol
482,Hyundai Eon Magna,Hyundai,2014,190000,35000,Petrol
483,Honda City 1.5,Honda,2014,499000,22000,Petrol
484,Maruti Suzuki Ritz,Maruti,2010,149000,40000,Petrol
485,Hyundai Grand i10,Hyundai,2017,400000,20000,Petrol
486,Hyundai Eon D,Hyundai,2016,120000,87000,Petrol
487,Maruti Suzuki Swift,Maruti,2015,250000,55000,Petrol
488,Maruti Suzuki Wagon,Maruti,2017,375000,23000,Petrol
489,Honda Amaze 1.2,Honda,2014,381000,6000,Petrol
490,Maruti Suzuki Estilo,Maruti,2013,180000,65000,Petrol
491,Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel
492,Maruti Suzuki Eeco,Maruti,2015,278000,39000,Petrol
493,Hyundai Creta 1.6,Hyundai,2016,1000000,8000,Petrol
494,Mahindra Scorpio Vlx,Mahindra,2013,690000,75000,Diesel
495,Maruti Suzuki Ertiga,Maruti,2012,480000,51000,Diesel
496,Mitsubishi Lancer 1.8,Mitsubishi,2006,85000,50000,Petrol
497,Maruti Suzuki Maruti,Maruti,2001,40000,75000,Petrol
498,Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol
499,Hyundai Grand i10,Hyundai,2015,340000,53000,Petrol
500,Hyundai Eon D,Hyundai,2018,260000,25000,Petrol
501,Ford Fiesta SXi,Ford,2009,250000,56400,Petrol
502,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel
503,Hyundai Verna Fluidic,Hyundai,2012,350000,10000,Diesel
504,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol
505,Maruti Suzuki Estilo,Maruti,2007,115000,36000,Petrol
506,Audi A6 2.0,Audi,2012,1599000,11500,Diesel
507,Maruti Suzuki Wagon,Maruti,2003,130000,133000,Petrol
508,Maruti Suzuki Wagon,Maruti,2009,159000,27000,Petrol
509,Maruti Suzuki Wagon,Maruti,2009,160000,35000,Petrol
510,Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol
511,Maruti Suzuki Baleno,Maruti,2016,425000,40000,Petrol
512,Hyundai Verna 1.6,Hyundai,2019,900000,2000,Petrol
513,Maruti Suzuki Swift,Maruti,2009,150000,45000,Petrol
514,Hyundai Getz Prime,Hyundai,2009,110000,20000,Petrol
515,Hyundai Santro,Hyundai,2000,51999,88000,Petrol
516,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol
517,Chevrolet Beat PS,Chevrolet,2012,215000,65422,Diesel
518,Ford EcoSport Trend,Ford,2017,580000,10000,Petrol
519,Maruti Suzuki Dzire,Maruti,2013,380000,35000,Petrol
520,Hyundai Fluidic Verna,Hyundai,2013,350000,117000,Diesel
521,Tata Indica V2,Tata,2005,35000,150000,Diesel
522,BMW X1 xDrive20d,BMW,2011,1150000,72000,Diesel
523,Hyundai i20 Asta,Hyundai,2010,300000,10750,Petrol
524,Honda City 1.5,Honda,2009,269000,55000,Petrol
525,Tata Nano,Tata,2013,60000,6800,Petrol
526,Chevrolet Cruze LTZ,Chevrolet,2014,400000,41000,Diesel
527,Hyundai Verna Fluidic,Hyundai,2015,430000,73000,Diesel
528,Maruti Suzuki Swift,Maruti,2011,140000,65000,Diesel
529,Mahindra XUV500 W10,Mahindra,2018,1299000,40000,Diesel
530,Maruti Suzuki Alto,Maruti,2014,199000,37000,Petrol
531,Hyundai Accent GLE,Hyundai,2006,90000,55000,Petrol
532,Force Motors One,Force,2013,550000,140000,Diesel
533,Maruti Suzuki Alto,Maruti,2019,265000,9800,Petrol
534,Chevrolet Spark 1.0,Chevrolet,2011,100000,27000,Petrol
535,Hyundai i10,Hyundai,2009,215000,27000,Petrol
536,Toyota Etios Liva,Toyota,2012,380000,20000,Diesel
537,Renault Duster 85PS,Renault,2013,401919,57923,Diesel
538,Chevrolet Enjoy,Chevrolet,2014,490000,30201,Diesel
539,Maruti Suzuki Alto,Maruti,2017,280000,6200,Petrol
540,BMW 5 Series,BMW,2009,650000,37518,Petrol
541,Toyota Etios Liva,Toyota,2014,160000,24652,Petrol
542,Mahindra Jeep MM,Mahindra,2004,424000,383,Diesel
543,Chevrolet Beat LS,Chevrolet,2016,225000,95000,Diesel
544,Chevrolet Cruze LTZ,Chevrolet,2011,350000,35000,Diesel
545,Maruti Suzuki Ertiga,Maruti,2013,485000,52500,Diesel
546,Hyundai Verna VGT,Hyundai,2010,205000,47900,Diesel
547,Maruti Suzuki Omni,Maruti,2012,160000,14000,Petrol
548,Maruti Suzuki Celerio,Maruti,2018,310000,37000,Petrol
549,Tata Zest Quadrajet,Tata,2017,180000,90000,Diesel
550,Mahindra XUV500 W6,Mahindra,2013,549900,52800,Diesel
551,Tata Indigo CS,Tata,2016,150000,104000,Diesel
552,Hyundai i10 Era,Hyundai,2011,175000,30000,Petrol
553,Tata Indigo eCS,Tata,2014,95000,195000,Diesel
554,Tata Indigo LX,Tata,2016,230000,104000,Diesel
555,Tata Indigo eCS,Tata,2016,230000,104000,Diesel
556,Tata Indigo Marina,Tata,2004,180000,70000,Diesel
557,Hyundai Xcent SX,Hyundai,2015,400000,43000,Diesel
558,Hyundai Eon Magna,Hyundai,2013,185000,23000,Petrol
559,Renault Duster 85,Renault,2015,385000,51000,Diesel
560,Maruti Suzuki Alto,Maruti,2009,90000,62000,Petrol
561,Tata Nano LX,Tata,2010,32000,48008,Petrol
562,Renault Duster 110,Renault,2013,435000,39000,Diesel
563,Maruti Suzuki Wagon,Maruti,2010,225000,40000,Petrol
564,Maruti Suzuki Swift,Maruti,2006,189700,48247,Petrol
565,Maruti Suzuki Ertiga,Maruti,2012,389700,39000,Diesel
566,Maruti Suzuki Swift,Maruti,2014,365000,23000,Petrol
567,Maruti Suzuki Alto,Maruti,2017,360000,9400,Petrol
568,Hyundai i20 Magna,Hyundai,2010,210000,50000,Petrol
569,Hyundai i10 Magna,Hyundai,2009,170000,75000,Petrol
570,Tata Zest XE,Tata,2017,380000,70000,Diesel
571,Mahindra Xylo E8,Mahindra,2009,295000,64000,Diesel
572,Toyota Corolla Altis,Toyota,2010,185000,55000,Petrol
573,Tata Manza Aqua,Tata,2014,160000,200000,Diesel
574,Renault Kwid 1.0,Renault,2018,290000,2137,Petrol
575,Tata Venture EX,Tata,2013,100000,30000,Diesel
576,Maruti Suzuki Swift,Maruti,2014,315000,44000,Petrol
577,Skoda Octavia Classic,Skoda,2006,114990,65000,Diesel
578,Maruti Suzuki Omni,Maruti,2012,120000,160000,LPG
579,Chevrolet Beat Diesel,Chevrolet,2011,125000,56000,Diesel
580,Tata Sumo Gold,Tata,2012,210000,75000,Diesel
581,Hyundai Verna 1.6,Hyundai,2018,855000,42000,Diesel
582,Tata Sumo Gold,Tata,2012,210000,75000,Diesel
583,Mahindra Scorpio 2.6,Mahindra,2007,260000,56000,Diesel
584,Maruti Suzuki Zen,Maruti,2002,95000,10544,Petrol
585,Maruti Suzuki Swift,Maruti,2011,255000,64000,Petrol
586,Mahindra Scorpio SLX,Mahindra,2008,300000,70000,Diesel
587,Hyundai Grand i10,Hyundai,2014,340000,25000,Petrol
588,Hyundai Elite i20,Hyundai,2017,550000,15000,Petrol
589,Ford Ikon 1.6,Ford,2003,60000,50000,Petrol
590,Toyota Innova 2.5,Toyota,2011,750000,147000,Diesel
591,Nissan Sunny XL,Nissan,2011,230000,52000,Petrol
592,Chevrolet Beat LT,Chevrolet,2012,130000,90001,Diesel
593,Maruti Suzuki Alto,Maruti,2017,270000,21000,Petrol
594,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
595,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
596,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
597,Toyota Innova 2.0,Toyota,2012,600000,80000,Diesel
598,Maruti Suzuki Swift,Maruti,2010,190000,74000,Diesel
599,Hyundai Elite i20,Hyundai,2015,500000,22000,Petrol
600,Mahindra XUV500 W10,Mahindra,2016,1065000,41000,Diesel
601,Volkswagen Polo Trendline,Volkswagen,2015,350000,25000,Diesel
602,Toyota Etios Liva,Toyota,2012,350000,85000,Diesel
603,Mahindra TUV300 T4,Mahindra,2016,540000,29500,Diesel
604,Hyundai Elite i20,Hyundai,2015,470000,30000,Petrol
605,Hyundai Santro Xing,Hyundai,2014,179000,57000,Petrol
606,Maruti Suzuki Zen,Maruti,2003,48000,60000,Petrol
607,Maruti Suzuki Ciaz,Maruti,2016,650000,50000,Petrol
608,Hyundai Eon Era,Hyundai,2013,190000,39700,Petrol
609,Hyundai Elantra 1.8,Hyundai,2012,500000,65000,Petrol
610,Maruti Suzuki Swift,Maruti,2010,270000,67000,Diesel
611,Maruti Suzuki Zen,Maruti,2008,125000,46000,Petrol
612,Hyundai Eon Era,Hyundai,2012,188000,38000,Petrol
613,Hyundai Grand i10,Hyundai,2016,380000,27000,Petrol
614,Hyundai Verna Fluidic,Hyundai,2011,365000,43000,Diesel
615,Ford EcoSport Trend,Ford,2014,465000,47000,Petrol
616,Hyundai i20 Magna,Hyundai,2011,240000,42000,Petrol
617,Chevrolet Beat Diesel,Chevrolet,2016,179999,19336,Diesel
618,Tata Indica eV2,Tata,2015,140000,60105,Diesel
619,Audi Q5 2.0,Audi,2014,2390000,34000,Diesel
620,BMW 3 Series,BMW,2011,1075000,35000,Diesel
621,Maruti Suzuki Swift,Maruti,2015,475000,22000,Petrol
622,BMW X1 sDrive20d,BMW,2012,1025000,41000,Diesel
623,Maruti Suzuki S,Maruti,2016,615000,21000,Diesel
624,Maruti Suzuki Ertiga,Maruti,2013,475000,48000,Diesel
625,Maruti Suzuki Alto,Maruti,2016,270000,38000,Petrol
626,Honda City SV,Honda,2014,475000,34000,Diesel
627,Volkswagen Vento Comfortline,Volkswagen,2011,240000,45933,Petrol
628,Honda City 1.5,Honda,2005,120000,68000,Petrol
629,Audi A4 2.0,Audi,2016,1900000,44000,Diesel
630,Mahindra KUV100,Mahindra,2017,360000,35000,Diesel
631,Tata Zest XE,Tata,2018,450000,102563,Diesel
632,Mahindra XUV500 W8,Mahindra,2015,900000,28600,Diesel
633,Maruti Suzuki Swift,Maruti,2017,650000,41800,Diesel
634,Tata Sumo Gold,Tata,2014,275000,116000,Diesel
635,Maruti Suzuki Swift,Maruti,2009,210000,59000,Petrol
636,Mahindra Scorpio 2.6,Mahindra,2004,175000,58000,Diesel
637,Maruti Suzuki Omni,Maruti,2009,85000,45000,Petrol
638,Mitsubishi Pajero Sport,Mitsubishi,2015,1490000,42590,Diesel
639,Renault Duster,Renault,2014,800000,7400,Diesel
640,Volkswagen Jetta Comfortline,Volkswagen,2009,450000,54500,Diesel
641,Maruti Suzuki Ertiga,Maruti,2012,1000000,200000,Diesel
642,Audi A4 2.0,Audi,2013,1510000,27000,Diesel
643,Toyota Corolla Altis,Toyota,2014,790000,29000,Petrol
644,Mitsubishi Pajero Sport,Mitsubishi,2015,1725000,37000,Diesel
645,Chevrolet Beat LT,Chevrolet,2012,135000,36000,Petrol
646,BMW X1,BMW,2011,1000000,34000,Diesel
647,Datsun Redi GO,Datsun,2018,299999,7000,Petrol
648,Mercedes Benz C,Mercedes,2009,1225000,76000,Diesel
649,Mahindra Scorpio SLX,Mahindra,2004,175000,60000,Diesel
650,Volkswagen Vento Comfortline,Volkswagen,2011,200000,95000,Diesel
651,Tata Indigo CS,Tata,2017,270000,50000,Diesel
652,Ford Figo Petrol,Ford,2019,525000,0,Petrol
653,Honda City ZX,Honda,2006,180000,50000,Petrol
654,Maruti Suzuki Wagon,Maruti,2008,140000,68000,Petrol
655,Ford EcoSport Trend,Ford,2014,400000,16000,Petrol
656,Maruti Suzuki Swift,Maruti,2016,499000,51000,Diesel
657,Maruti Suzuki Omni,Maruti,2009,85000,56000,Petrol
658,Maruti Suzuki Zen,Maruti,2004,70000,100000,Petrol
659,Renault Duster RxL,Renault,2015,550000,36000,Petrol
660,Maruti Suzuki Swift,Maruti,2014,370000,11523,Petrol
661,Maruti Suzuki Baleno,Maruti,2018,690000,1000,Petrol
662,Honda WR V,Honda,2009,250000,60000,Petrol
663,Tata Indigo CS,Tata,2016,110000,85000,Diesel
664,Renault Duster 110,Renault,2013,490000,38600,Diesel
665,Mahindra Scorpio LX,Mahindra,2009,320000,95500,Diesel
666,Maruti Suzuki Zen,Maruti,2004,68000,56000,Petrol
667,Maruti Suzuki Wagon,Maruti,2014,130000,37458,Petrol
668,Maruti Suzuki SX4,Maruti,2016,970000,85960,Diesel
669,Audi A3 Cabriolet,Audi,2015,3100000,12516,Petrol
670,Hyundai Eon D,Hyundai,2018,280000,35000,Petrol
671,Maruti Suzuki Zen,Maruti,2009,125000,0,Petrol
672,Mahindra Scorpio SLX,Mahindra,2008,285000,80000,Diesel
673,Hyundai Santro AE,Hyundai,2011,165000,45000,Petrol
674,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
675,Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel
676,Mahindra Xylo D2,Mahindra,2011,390000,48000,Diesel
677,Hyundai Santro,Hyundai,2003,60000,51000,Petrol
678,Chevrolet Beat LT,Chevrolet,2015,215000,90000,Diesel
679,Maruti Suzuki Swift,Maruti,2015,475000,43000,Diesel
680,Mahindra XUV500 W8,Mahindra,2015,899000,53000,Diesel
681,Toyota Fortuner 3.0,Toyota,2013,1499000,97000,Diesel
682,Maruti Suzuki Alto,Maruti,2013,240000,20000,Petrol
683,Hyundai Getz GLE,Hyundai,2007,99000,55000,Petrol
684,Maruti Suzuki Swift,Maruti,2014,260000,120000,Diesel
685,Hyundai Creta 1.6,Hyundai,2019,1200000,0,Petrol
686,Hyundai Santro Xing,Hyundai,2007,115000,46000,Petrol
687,Hyundai Santro Xing,Hyundai,2009,88000,43200,Petrol
688,Mahindra Xylo D2,Mahindra,2011,390000,56000,Diesel
689,Hyundai Santro Xing,Hyundai,2007,135000,42000,Petrol
690,Tata Indica V2,Tata,2009,90000,30600,Diesel
691,Hyundai i10 Sportz,Hyundai,2011,220000,38000,Petrol
692,Hyundai Grand i10,Hyundai,2017,424999,2550,Petrol
693,Hyundai Santro Xing,Hyundai,2007,135000,47000,Petrol
694,Honda City 1.5,Honda,2005,95000,41000,Petrol
695,Nissan Micra XL,Nissan,2017,430000,62500,Diesel
696,Honda City 1.5,Honda,2005,115000,68000,Petrol
697,Maruti Suzuki Alto,Maruti,2015,215000,50000,Petrol
698,Maruti Suzuki Wagon,Maruti,2004,53000,69000,Petrol
699,Maruti Suzuki Ertiga,Maruti,2012,500000,48000,Diesel
700,Tata Indica eV2,Tata,2012,85000,55000,Diesel
701,Maruti Suzuki Omni,Maruti,2013,165000,25000,Petrol
702,Hyundai Eon Era,Hyundai,2014,200000,28400,Petrol
703,Hyundai Eon,Hyundai,2014,200000,28000,Petrol
704,Maruti Suzuki Swift,Maruti,2015,425000,42000,Diesel
705,Hyundai Verna 1.6,Hyundai,2012,600000,29000,Diesel
706,Chevrolet Tavera LS,Chevrolet,2005,130000,68485,Diesel
707,Tata Tiago Revotron,Tata,2018,430000,3500,Petrol
708,Tata Tiago Revotorq,Tata,2019,568500,0,Petrol
709,Maruti Suzuki Zen,Maruti,2006,71000,32000,Petrol
710,Mahindra KUV100 K8,Mahindra,2018,560000,8000,Diesel
711,Ford EcoSport Titanium,Ford,2014,590000,34000,Diesel
712,Ford Fusion 1.4,Ford,2007,125000,85455,Diesel
713,Hyundai Santro Xing,Hyundai,2007,135000,46000,Petrol
714,Hyundai Santro,Hyundai,2002,60000,47000,Petrol
715,Fiat Linea Emotion,Fiat,2009,120000,64000,Petrol
716,Ford Ikon 1.3,Ford,2008,95000,46000,Petrol
717,Maruti Suzuki Omni,Maruti,2017,240000,8000,Petrol
718,Tata Indica V2,Tata,2012,115000,64000,Diesel
719,Mahindra Scorpio S4,Mahindra,2015,795000,63000,Diesel
720,Hyundai Santro Xing,Hyundai,2007,55000,65000,Petrol
721,Mahindra Xylo D2,Mahindra,2009,300000,62000,Diesel
722,Hyundai Grand i10,Hyundai,2014,320000,41000,Petrol
723,Maruti Suzuki Alto,Maruti,2015,265000,14000,Petrol
724,Toyota Corolla,Toyota,2006,160000,40000,Petrol
725,Hyundai Eon Magna,Hyundai,2017,300000,1600,Petrol
726,Tata Sumo Grande,Tata,2010,130000,90000,Diesel
727,Maruti Suzuki Swift,Maruti,2011,250000,58000,Diesel
728,Volkswagen Polo Highline1.2L,Volkswagen,2013,380000,27000,Petrol
729,Maruti Suzuki Alto,Maruti,2003,42000,60000,Petrol
730,Tata Tiago Revotron,Tata,2017,400000,31000,Petrol
731,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
732,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
733,Tata Indigo eCS,Tata,2016,130000,150000,Diesel
734,Chevrolet Beat LS,Chevrolet,2014,189000,31000,Diesel
735,Mahindra Xylo E8,Mahindra,2011,365000,43000,Diesel
736,Hyundai Eon D,Hyundai,2013,170000,20000,Petrol
737,Tata Sumo Gold,Tata,2013,215000,100000,Petrol
738,Tata Nano,Tata,2013,60000,7000,Petrol
739,Hyundai Elite i20,Hyundai,2017,599999,31000,Petrol
740,Hyundai i10 Magna,Hyundai,2009,400000,33000,Petrol
741,Hyundai Creta,Hyundai,2016,900000,60000,Diesel
742,Volkswagen Polo,Volkswagen,2013,299999,48000,Diesel
743,Maruti Suzuki Dzire,Maruti,2014,374999,33000,Petrol
744,Tata Bolt XM,Tata,2015,600000,15000,Petrol
745,Maruti Suzuki Alto,Maruti,2005,70000,47000,Petrol
746,Maruti Suzuki Alto,Maruti,2005,100000,40000,Petrol
747,Maruti Suzuki Ritz,Maruti,2010,150000,38000,Diesel
748,Maruti Suzuki Alto,Maruti,2017,225000,12500,Petrol
749,Maruti Suzuki Dzire,Maruti,2009,210000,42000,Petrol
750,Hyundai i20 Asta,Hyundai,2014,425000,31000,Petrol
751,Maruti Suzuki Swift,Maruti,2008,162000,60000,Diesel
752,Tata Indica V2,Tata,2005,60000,80000,Diesel
753,Mahindra Scorpio VLX,Mahindra,2014,650000,77000,Diesel
754,Toyota Innova 2.5,Toyota,2012,750000,75000,Diesel
755,Mahindra Xylo E8,Mahindra,2010,375000,40000,Diesel
756,Hyundai i20 Magna,Hyundai,2011,230000,47000,Petrol
757,Maruti Suzuki Omni,Maruti,2000,35999,60000,Petrol
758,Mahindra KUV100,Mahindra,2016,380000,26500,Petrol
759,Mahindra KUV100 K8,Mahindra,2019,560000,2875,Petrol
760,Datsun Go Plus,Datsun,2016,285000,13900,Petrol
761,Ford Endeavor 4x4,Ford,2019,2900000,9000,Diesel
762,Tata Indica V2,Tata,2005,39999,80000,Diesel
763,Hyundai Santro Xing,Hyundai,2006,85000,60000,Petrol
764,Maruti Suzuki Wagon,Maruti,2016,395000,20000,Petrol
765,Maruti Suzuki Swift,Maruti,2008,175000,58000,Diesel
766,Maruti Suzuki Alto,Maruti,2019,400000,1500,Petrol
767,Toyota Innova 2.5,Toyota,2011,750000,75000,Diesel
768,Maruti Suzuki Alto,Maruti,2016,250000,2450,Petrol
769,Maruti Suzuki Alto,Maruti,2019,425000,1625,Petrol
770,Volkswagen Polo Highline1.2L,Volkswagen,2017,525000,45000,Petrol
771,Mahindra Logan,Mahindra,2009,130000,65000,Diesel
772,Maruti Suzuki 800,Maruti,2000,30000,33400,Petrol
773,Mahindra Scorpio,Mahindra,2011,475000,60123,Diesel
774,Chevrolet Sail 1.2,Chevrolet,2013,300000,28000,Petrol
775,Hyundai Santro AE,Hyundai,2003,60000,70000,Petrol
776,Maruti Suzuki Wagon,Maruti,2006,100000,7000,Petrol
777,Hyundai Eon,Hyundai,2018,260000,25000,Petrol
778,Tata Manza,Tata,2015,100000,100000,Diesel
779,Toyota Etios G,Toyota,2013,265000,42000,Petrol
780,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol
781,Toyota Qualis,Toyota,2003,180000,100000,Diesel
782,Hyundai Santro Xing,Hyundai,2004,45000,137495,Petrol
783,Tata Indica eV2,Tata,2016,50500,91200,Diesel
784,Honda City 1.5,Honda,2009,270000,55000,Petrol
785,Tata Zest XE,Tata,2017,290000,120000,Diesel
786,Mahindra Quanto C4,Mahindra,2013,325000,63000,Diesel
787,Tata Indigo eCS,Tata,2016,160000,104000,Diesel
788,Maruti Suzuki Swift,Maruti,2016,350000,146000,Diesel
789,Hyundai Elite i20,Hyundai,2011,290000,40000,Petrol
790,Hyundai i20 Select,Hyundai,2011,290000,40000,Petrol
791,Chevrolet Tavera Neo,Chevrolet,2007,465000,100800,Diesel
792,Maruti Suzuki Dzire,Maruti,2016,325000,150000,Diesel
793,Hyundai Elite i20,Hyundai,2018,510000,2100,Petrol
794,Honda City VX,Honda,2016,860000,95000,Petrol
795,Maruti Suzuki Dzire,Maruti,2016,450000,2500,Diesel
796,Hyundai Getz,Hyundai,2006,125000,80000,Petrol
797,Mercedes Benz C,Mercedes,2006,500001,15000,Petrol
798,Maruti Suzuki Alto,Maruti,2005,95000,65000,Petrol
799,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
800,Skoda Fabia,Skoda,2009,110000,45000,Petrol
801,Maruti Suzuki Ritz,Maruti,2011,270000,50000,Petrol
802,Tata Indica V2,Tata,2009,110000,30000,Diesel
803,Toyota Corolla Altis,Toyota,2009,300000,132000,Petrol
804,Tata Zest XM,Tata,2018,260000,27000,Diesel
805,Mahindra Quanto C8,Mahindra,2013,390000,40000,Diesel
